#ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,MONTH,YEAR,DEPTH,SEVERITY_CODE,BLEACHING_SEVERITY,CORAL_FAMILY,CORAL_SPECIES,PERCENTAGE_AFFECTED,BLEACHING_DURATION,MORTALITY_CODE,MORTALITY,RECOVERY_CODE,RECOVERY,SURVEY_TYPE,SURVEY_AREA,WATER_TEMPERATURE,OTHER_FACTORS,REMARKS,SOURCE,REFERENCE_CODE,COUNTRY_CODE
286,Pacific,US Pacific Islands,Hawaiian Islands (USA),"Anini Reef Hawaii",22.2251,-159.3636,,1998,,0,No Bleaching,,,,,,,,,,,,,0,Reef Check Data 2087,0,USA_HAW
2325,Pacific,US Pacific Islands,Hawaiian Islands (USA),Hawaii,18.38333333,-154.6333333,8,1986,,3,HIGH,,,,,,,,,,,,,"Extensive coral reef bleaching of Pocillopora spp. began in August 1986 on the Hawaiian islands of Hawaii Maui and Oahu from the shoreline to 45.7m depth.  From 20-100% of the surface areas of approximately 80% of the colonies were bleached.  Bleaching ",ReefBase,388,USA_HAW
2326,Pacific,US Pacific Islands,Hawaiian Islands (USA),Hawaii,18.38333333,-154.6333333,,1987,,3,HIGH,,,80,,,,,,,,,,,ReefBase,388,USA_HAW
414,Pacific,US Pacific Islands,Hawaiian Islands (USA),Johnston Atoll,16.7834,-169.5075,,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,"Wilkinson Clive. http://coral.aoml.noaa.gov/bulls/clive-bleaching.html",0,USA_HAW
7132,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kailua Kona,19.67,-156.03,9,2008,10,3,HIGH,,,,,,,,,Reef Check Protocol,,"Air temp 35 Deg C Water temp 30 Deg C",,100% of recorded recently killed coral on substrate is result of bleaching; Small amounts of bleaching in area with small amounts of algae growth","Reef Check Submitted by Krista Heide. Site ID 156.1.42W.19.40.7N",,USA_HAW
7133,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kailua Kona,19.67,-156.03,7,2008,7,-1,Severity Unknown,,,,,,,,,Reef Check Protocol,,"Air temp 26 Deg C Water temp 24 Deg C",,small amounts of bleached coral with light algae growth,"Reef Check Submitted by Krista Heide . Site ID156.1.48W.19.40.2N",,USA_HAW
7134,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kailua Kona,19.69,156.03,12,2008,12,0,No Bleaching,,,,,,,,,Reef Check Protocol,,"Air temp 26 Deg C Water temp 24 Deg C",,0% of recorded RKC on substrate is result of bleaching; bleached coral due to natural mortality,"Reef Check Submitted by Krista Heide. Site ID 156.2.099W.19.41.425N",,USA_HAW
7130,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kailua Kona,19.96,155.86,1,2008,10,0,No Bleaching,,,,,,,,,Reef Check Protocol,,"Air temp 26 Deg C Water temp 24 Deg C",,0% of recorded recently killed coral on substrate is result of bleaching; coral damage due to sand or predation,"Reef Check Submitted by Krista Heide. Site ID 155.51.35W.19.57.33N",,USA_HAW
7131,Pacific,US Pacific Islands,Hawaiian Islands (USA),"Kailua Kona",19.42,155.91,3,2008,10.5,0,No Bleaching,,,,,,,,,Reef Check Protocol,,"Air temp 25 Deg C Water temp 24 Deg C",,0% of recorded  recently killed coral  on substrate is result of bleaching; BLUE GREEN ALGAE: 2%:15%:40%:20%�SOME COLONIES (SEVERAL COLONIES)50% COVERED IN B/G ALGAE. ALSO RED ALGAE & ASPERCATUS,"Reef Check Submitted by Krista Heide. Site ID 155.54.43W.19.25.25N",,USA_HAW
3934,Pacific,US Pacific Islands,Hawaiian Islands (USA),"Kaneohe Bay Hawaii",21.432,-157.794,9,1996,,3,HIGH,,,100%,Starting from 31 August to end of Dec 1996,,,0,"Most of the colonies throughout the bay had recovered by mid November.  Some of the highly bleached colonies  still were white in color in late November but regained full pigment by the end of December 1996.",,,29-30C,,"Gradual warming occurred during July in Kaneohe Bay as solar input increased and wind speed diminished.  By 21 Aug 1996 mean SST in Kaneohe Bay reached 28.5 C and was increasing rapidly. Wind speed dropped to a low level.  Solar radiation input was at near annual maximum with little cloud cover. Corals throughout the inner portion of Kaneohe Bay began to show signs of stress including contracted polyps mucous secretion and some discoloration. Maximum mid-day temperature on the reef began to exceed 30 C starting on 26 Aug 1996. By 31 August 1996 the daily mean SST exceeded 30 C with a daily mid day maximum approaching 30.7 C.  By this time the bleaching process was conspicuously underway in corals throughout the inner portion of the bay.  Corals in the lagoon area directly in front of the main building of the Hawaii Institute of Marine Biology experienced higher temperatures due to restricted circulation and were highly bleached by 26 August 1996. Large tracts of corals throughout the inshore portion of Kaneohe Bay became highly bleached by 4 September. The areas where significant amounts of bleaching occurred were confined to the inner portion of Kaneohe Bay. The proportion of coral heads that bleached throughout the affected area varied from less than 5% in some areas to 100% over large sections of reef.  The amount of bleaching diminished near stream discharge points or other areas where turbidity was high.  Bleaching decreased with depth especially in localized areas of high turbidity. The period of highest thermal stress occurred between 14 August and 5 September (22 days).  During this time period the mean daily temperature remained in the 29-30 C  range.  The corals became progressively more bleached throughout September even  though temperature was declining.  Maximum bleaching occurred from 2 to 4 weeks  after the peak of highest temperature.  A second less severe warming episode  developed in early October but peak temperature remained below 29 C and did  not appear to further increase the rate of bleaching.  By mid October  temperatures diminished into the normal range and recovery of bleached  corals was underway.  Corals that were only slightly bleached started to regain pigmentation.  The remaining zooxanthellae in the lower shaded portions of bleached colonies began to rapidly re-infect the upper surface bleached areas.  Corals that were highly bleached died or regained pigment very slowly. Most of the colonies throughout the bay had recovered by mid November.  Some of the highly bleached colonies  still were white in color in late November but regained full pigment by the end of December 1996.","Jokiel P.L. personal communication to  NOAA & ReefBase (18/7/2003)",,USA_HAW
2323,Pacific,US Pacific Islands,Hawaiian Islands (USA),Kapalua,21.01666667,-156.6666667,11,1986,,-1,Severity Unknown,,,,,,,,,,,,,"In November 1986 reports were received of dying corals in the Napili and Kapalua area.  Ninety percent of Montipora sp. were bleached but no Pocillopora sp.  Calm water conditions and warm water temperatures occurred during this event (pers comm to Hau).",ReefBase,388,USA_HAW
3329,Pacific,US Pacific Islands,Hawaiian Islands (USA),"Kure Atoll Northwest Hawaiian Islands",28.43,178.33,10,2002,,2,Medium,,"Montipora Pocillopora",,,3,"Towed diver surveys which covered about 135 km of reef habitat (Pearl & Hermes; Midway; Kure Atoll) at these three atolls many areas were observed to have suffered greater than 50% coral mortality. Some areas had coral mortality close to 75%.",,,,,Significant temperature anomalies reported in the area by NOAA,,"Pearl & Hermes; Midway; Kure. bleaching was most pronounced in backreef and reef flat habitats exposed to the most intense sunlight warmest temperatures and strongest ultraviolet radiation.  Most of Montipora Pocillopora were very susceptable to bleaching wheras lobe corals and finger corals (Porites) were less bleached. Many other coral species have shown no sign of bleaching or only minor bleaching. Vast areas of the backreef were severely bleached.",Press Release: http://www.hawaiianatolls.org/news/pr/PR_10_3.pdf,,USA_HAW
7054,Pacific,US Pacific Islands,Hawaiian Islands (USA),Lanai,20.79,-156.99,5,2009,10,-1,Severity Unknown,,,,,,,,,Reef Check protocol,,Water temp 23.8 Deg C.,,"very little encrusting montipora most that I did see were very small colonies and were bleached (see pictures)",Reef Check submitted by Krista Heide. Site ID:  156.59.470W.20.47.272N,,USA_HAW
4025,Pacific,US Pacific Islands,Hawaiian Islands (USA),"Maro Reef Northwestern Hawaiian Islands",25.422,-170.57,9,2004,,-1,Severity Unknown,,"Montipora patula Porites evermanni and Porites lobata Montipora capitata Pocillopora meandrina and Pocillopora damicornis",,,,,,,,,,,"Drs. Jean Kenyon and Greta Aeby confirmed substantial coral bleaching at several reef systems in the Northwestern Hawaiian Islands during surveys conducted in September/October 2004. At Maro Reef Laysan and Lisianski the taxa most frequently affected included Montipora patula Porites evermanni and Porites lobata with lower incidences of bleaching in Montipora capitata Pocillopora meandrina and Pocillopora damicornis.","Jean Kenyon Ph.D. [""Jean.Kenyon.Ph.D.""@noaa.gov] in coral list 24/10/2004",,USA_HAW
